,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
SERHL2,-0.0007608396750264111,0.003628340785428727,-0.0202810860700803,-0.01333938695976876,-8.086767684117868e-05,0.002315653604609502,-0.000571748147970369,0.0030861383963581013,0.004693535441722893,-0.004138166285483774,0.0007764046359764187,-0.010542162471847447,-0.007284806101999136,0.0186082928087197,0.02038762384847284,-0.02558752700781102,0.0147629925367097,-0.005585428051053679,-0.0023495787032170503,-0.007286977619745848,-0.005192325773372767,-0.012511049701424562,-0.021314408162392745,0.010569895411519543,-0.0007031040230521101,-0.017137450685547822,-0.031183553050446608,-0.0456299237087327,0.07165165147384242,0.013664565994697194,-0.011882377379250436,0.026281642603776932,-0.013194955729619935,0.03742361704396763,-0.0818305646192325,0.003250962723076692,-0.06360697240968531,-0.05688231853676999,0.026042928668276046,0.05294373416750798,0.04812655081796016,0.016340108313150064,-0.047520223988433696,0.003916513230877126,0.016727261550859053,0.008182361156850624,-0.0103961950238451,0.004748978389442205,-0.03800710038781124,-0.013433568386868029
RMDN3,-0.003961633780321738,0.02499488360297625,0.009280813313824314,-0.01607358441665496,0.0015427191951724595,-0.00026777123220977916,0.003893898649146521,-0.0037754882156011693,0.0012188914030751147,0.0029328102955923085,-0.024186262721767708,0.02000298856303903,-0.03280024406591901,0.021746325653943438,-0.0023277005491791694,-0.05023364264746517,0.03693314473850234,-0.0020942905874830886,0.02953338334016802,0.00753476249382359,0.0034108004011828893,-0.0005885397113004976,0.0019188791032741896,-0.015048354198385239,0.014813712510454241,0.02024728026891983,0.00716392845358875,-0.013482181987012676,0.010765930742298438,0.004167326510116014,0.0011049459227274964,0.0022904431354693333,-0.012105094882625782,-0.019090096944078396,-0.0029664542951085247,0.007830106702661065,-0.001584722817711679,0.0028775461020750584,0.013271345142586526,0.023533489461741823,0.020939206012725548,-0.022183649862998325,0.016899450088089067,-0.030387066402982173,0.003236639336295411,0.015588323716866257,-0.00603341303257358,0.014735302111838811,-0.00478018835408423,0.01768476772618155
RP11-514O12.4,0.02351343038223086,-0.010861215718471793,0.002849197136260035,-0.001957629761704615,0.030625836509063836,0.010699195743953616,0.0009659011211877455,0.09665466702916367,0.016224878629137976,-0.006760717530752344,-0.030545153037346562,0.09907134154313836,0.07297804220335508,0.018030846423015418,0.028722964562508536,-0.04558431540241603,-0.05788171443261256,0.0005735791154377889,-0.018543776288549835,-0.0030630134087068174,-0.026771321708245848,-0.02425235741895867,-0.01110519410051511,-0.03066605329217572,-0.005488555020905618,0.017818907044744318,-0.0035817512382509686,-0.0062441509059024194,-0.009500336098399204,-0.005858026726259645,-0.016422132818311893,-0.01781647664105737,0.023568947980090765,0.015340484756989878,0.01420169800548176,0.0019187458666920232,-0.028086422707116296,0.003984253505883835,0.014252620497641234,0.0031354623318724795,-0.0023465073539045214,0.017898286760475626,-0.006255041258907381,0.010233543597425288,-0.009796650880485917,-0.01829554043902721,0.004966989334582214,0.008162745545385795,0.005662968591882596,0.003193542302472133
RP3-402G11.26,-0.0011804098413797503,-0.008518249274621076,-0.005973622486752967,-0.004254724722207415,-0.000323336642013311,-0.0023200586519612765,-0.004218983140851451,-0.0032110824719116526,0.009790753674462194,0.0015711589576976187,-0.0032228979289393445,-0.02266548923420031,-0.011357699595640706,0.004050612197931,0.05225413602044361,0.010976465555377214,-0.014017684170082825,-0.08797016798733323,-0.00020809790202646236,0.018853577166794415,0.012401526480621022,-0.023915998887635334,-0.03250408136723299,-0.0029897702082568034,-0.007637157760733867,0.02239811877511716,0.00956495583935843,0.01710345631670458,-0.0024402314112497298,-0.011767519421664985,0.018311415378121594,-0.029815602220048365,0.039588754150407635,-0.025103539675489343,-0.012890007031154602,0.018281833280932414,-0.023462123939661315,-0.039381548515169486,-0.013444344766812936,0.04139309257489772,-0.004642632701904223,-0.006566852137114344,0.01599613992879296,0.011201774062771116,-0.02151801504489655,-0.015131695388379137,0.01493852683275814,-0.026200188697935146,-0.03058617045660465,0.03236848453132306
ANKRD54,-0.0029729323943459324,0.009448419040410013,-0.007901170869730847,-0.004543982310520875,-0.000518747676950591,-0.0015630406286848142,0.0012087593930711904,0.002876156671492325,0.001905733459295574,0.0035852718601818937,0.00016086750999355637,-0.008144414604287886,0.00875353838922674,0.004577874425697265,0.018217013292383018,-0.005789195524856152,0.0006264112808587914,-0.011737116688723258,-0.0006757261850017076,-0.0023377772094557315,-0.002533979347746236,-0.009765157406640022,-0.004208294982030144,0.0008122308790671356,0.009915246398493466,0.008329290656451958,-0.02465714828957818,0.003186343722740584,0.010255421354725833,0.012678723352780728,0.014595421760062038,0.026982132814940107,-0.0064555561218787305,0.0053528597791322,-0.01339639478743064,0.007380064678297382,-0.028934949712021152,0.0087765988196093,0.03242909953013118,0.03680277596746856,-0.0038118330602941175,-0.03867986029610093,-0.01582897031198209,-0.0074697239945214905,0.012819201586007342,0.012213260888481108,0.00037253105169730155,-0.015313945305188481,-0.0009998077592810843,-0.02799985461318852
WBP5,0.03213459517366418,-2.6056339617277677e-06,0.0016534440570298106,0.006902513087182592,0.01485678540196672,0.008586254785555178,0.02044783191459215,0.10600863460971827,-0.08192698423831338,-0.015304797247192276,-0.0009185815524983543,-0.08701694488132143,-0.06368519604677852,0.004799246458685492,-0.012984308778640832,0.034790702328558305,0.04014611609947175,0.0270121358623492,0.0032040416534143542,0.035903944623282176,0.002596504997539502,0.025766780670846316,0.012536668005753933,-0.0009383032261411489,0.01962992110498039,-0.011276986312828086,-0.006349211671539609,0.02129336692591434,-0.006623392490920199,0.029860956573776666,0.013902459571039548,0.0018680195325831359,-0.019446444123460332,-0.017233095291676825,-0.01856817242155257,-0.0008129618639042407,0.011929627648297983,0.020783075230366342,0.004547876305306318,0.0011527244206377824,-0.0598252306736453,-0.006594870681102133,-0.015937069466073518,0.013201021819984685,-0.01940173523571391,0.02766220807632091,0.008866321561843134,0.006841711097706577,0.043902196114624537,0.010363079284937482
MGAT5,0.0008860125105014885,0.0035591354424638396,-0.004804902201718713,0.002234037827685666,-0.00024076676837438116,-0.0010462452518478667,-0.006415817940650992,-0.004824103421307069,0.016207098841285794,0.013515276826496433,0.018597034230284443,-0.007925877845718878,-0.016124311714894396,-0.01727556100840577,0.021774793697913068,0.009369852122777411,0.03173672612740305,-0.029768116651050378,0.0015767925208991,0.012954879988029876,0.007059559518350175,0.020237135645735645,-0.014690343262126074,0.00308237595200115,0.028445483727594423,-0.013235244577342818,-0.027508936610922744,-0.01570659407692307,-0.007578462602417992,-0.0071147909874789885,-0.054381121228624034,-0.014077508047296008,0.03944801402168063,0.003423153369514753,-0.03672300862627863,0.008164708719394675,-0.02168128005102049,0.04095555276846271,0.014576433282830717,-0.016146826095850705,-0.026074889630512334,0.02948123499712871,-0.02245655619162191,0.02006346813321111,-0.01731454285699288,-0.011845436516289398,0.03780677453405039,0.01850275500508161,-0.011273650982268034,-0.048052134343410685
ZNF75A,-0.003640340278324484,0.012410618453473096,-0.01117829261528375,0.0013873378861855826,-0.0008485117376446975,-0.001691155255190386,0.00011220351232033021,-0.004842732323196208,-0.0009978711265455215,-0.0015324051288930739,-0.005668956084055932,-0.01088167640277533,0.01260298552780019,0.001651615922463101,-0.005476288835527424,-0.02739215342597142,-0.005001222993573168,-0.017012228997328932,-0.007386935226617977,-0.040753272064639946,0.025554339961718964,-0.012387198639758646,0.001531363727270675,0.01721673500990567,0.021152552626403802,-0.026009995496975774,-0.01809374878718957,-0.02033227566486151,-0.019091268793644978,-0.005150210856079439,0.00790355540714498,-0.019118051301130718,-0.017089007765783454,-0.0006322504702240064,-0.0212639818552069,-0.007459853318258686,0.011130870314522376,0.015017461190752871,0.006289384089134032,-0.020576130287469803,-0.009025979233016547,-0.012376159699422185,-0.004945643085578632,0.0010482397735523934,0.01199006146383856,-0.01475809766745127,0.02332377047449827,-0.026241945272238904,0.0024663594239395783,-0.013482421141316205
WASL,-0.001646599435647278,0.0012607442302503518,0.007569359058271145,0.0021107815756423046,6.95346604327486e-05,-0.0017559543917521512,-0.008090166344940392,0.00262158047443517,-0.001615018511840649,0.0011783044621754002,0.0037579920580536053,-0.0017115514715825876,0.005526084194042852,-0.013623280472996963,0.014300391219081124,0.005050198615742733,-0.0041068423848718005,0.01390287134263743,-0.004439278561692049,0.009107535893654727,0.021566023951487975,0.02774487957712505,0.012887707995546883,0.008290880648193527,1.870955291629825e-05,-0.009159242564326583,-0.009105023195140814,0.00998031560332475,0.0087943715668612,0.01021136335965492,-0.0026899257754262173,0.0033419819149253516,-0.02236437226557981,0.000892944475842648,-0.002888852984079114,-0.0015077826737665279,0.007017089789309707,-0.010674844292669048,0.011960015249737874,0.008017018146925528,-0.011373641876738325,0.003273566811664845,0.0024846095389473195,-0.004444168211090664,0.00695672480332768,0.006967935977377133,0.0023289571293257164,-0.01556950146440492,0.004616920968967632,0.00011373665625578552
CEP78,-0.003781261754213984,0.026061802387981052,0.01627780963952244,-0.015308447989077004,-0.002130495886461951,0.0035044980828101715,0.005063863289626977,-0.0013873136458959767,0.00165644675371579,0.008004467937626186,0.00239951707583716,-0.009344939541847445,0.0018121015888730718,0.010715464021375604,0.007288126591705066,0.00029407744365364183,-0.005322963269904689,0.0141155794994851,-0.002207696322320905,0.011519852495455838,0.01129656710070081,-0.008555490036229003,0.00020290334254630116,0.008329648195120526,0.005203746120027004,0.01424712280802902,-0.010582197387370443,-0.009378927016158098,-0.008816840583913271,-0.0005384240891519107,-0.027169371966788532,0.04216542094799888,0.014054169100199007,0.011383039401119276,-0.022629751596795013,-0.01247545670609597,-0.02244418908069045,-0.03767196337437032,0.013735508835380099,0.02076894746100367,0.0013672029871403396,-0.0038823926375452047,-0.01047556706250936,-0.021756823375115992,-0.04125091105945862,-0.020596237051597126,-0.002895729080499632,-0.016987640916770307,-0.031746345832961265,0.028824357315088246
TOMM40L,-0.0014252270291571895,-0.0017590635374680923,0.0033828376263521447,-0.0069845211862584805,-0.0008514908063551249,0.0005841569110580217,-0.0029747296684749444,0.0068756827049288455,-0.006654057192250651,-0.0013992047080254033,0.01568998434450658,0.003959191966855076,0.009221269103849461,-0.011970140008735662,-0.02196555136866249,-0.0017344068597791515,0.001441721109082833,0.004678584985877865,-0.00701556409792066,-0.002778788941955483,0.014213792383521797,0.021313486489307316,-0.001291763143634557,0.015252472891719215,-0.016385359413898855,-0.014890073311318835,-0.007900986890014075,0.004927029260448947,-0.0038598168631018698,0.0016649885144163767,0.0169127195044034,-0.008740032525452362,-0.007826379198991719,0.010018257752103707,0.02320461892550317,-0.03212064378847945,-0.008099394141151916,-0.000567450554215955,0.0014213817604209929,-0.003314512673065144,-0.0037022431745078327,0.010603872907720973,-0.0015045840331534156,-0.009140188363679837,0.0063689439682130325,0.002538644677507431,-0.03367167960131743,-0.014817568793890748,-0.007258947065325767,0.04442861629426477
SVOPL,0.001319585289110161,0.005719312642295465,-0.004359609013449375,-0.0005564067041735849,-0.0026313141547545725,-0.006717924245320457,-0.004887765102721504,-0.0005632325138445124,-0.016560071766782924,-0.01935993428852975,-0.008337334874170266,-0.03769776708704281,-0.004049534552417959,0.01044651756501333,-0.02313243476466051,0.004688826361917302,-0.01029186265817078,-0.03297477467004105,0.015020157448897618,-0.012085436183693038,-0.0385549387609446,0.051122919923032716,0.013664231396711156,-0.010210453041660593,-0.06997338066263484,-0.09655895526064354,-0.005204778335768712,-0.04303827283732985,0.03244330217446405,0.032097789591256615,-0.004644131841444854,0.06122081078775012,-0.003146444199108145,-0.02160831217292068,0.05894036377783454,0.02718545899677266,-0.0889045353683295,0.01991713901569679,0.05197854065163354,-0.05040023735889501,-0.025726745784134173,-0.04683588212860357,0.10810483680115832,0.0313382665870235,-0.0881244474936289,0.010327680744829749,-0.002336630050637535,0.011009676822410597,-0.09826580819055165,-0.054987795695028464
UIMC1,0.00851710337233353,0.011971327202879646,-0.01530268714539558,-0.014244050946210174,0.003466525879950694,-0.0037784334377213287,-0.01751298821806735,-0.004569267752701545,0.008754873089037551,-0.0021058494962468838,0.02613105483353889,-0.004535785117813453,-0.003332927659571744,-0.0012517618194691493,-0.014394718475100182,-0.016587882411082437,-0.006328547110784198,0.007358845730894851,0.024984641578428047,-0.020600455041616544,-0.003637441762963931,-0.014628941450262785,0.010731836814778475,0.0063798545325272765,0.023083651655963454,-0.00894257999060491,0.011858181146659208,0.009821734539534832,-0.017500767154740138,-0.015086108176503188,-0.002333226777129601,0.0004401615197123024,0.012894269444453259,-0.017070052188629656,0.008609840617218707,-0.021533202095572822,-0.008143722341028468,-0.0349585410835855,-0.03196080126277595,-0.038436881257404465,-0.00457135625703119,-0.00711995635479882,-0.022558610994831408,-0.001977939349737952,-0.009065793066202858,-0.016528078923863074,0.0076840544596846055,-0.006088038984767091,-0.020396243993578395,0.020333417857866087
ZNF12,-0.001222316477352155,0.003380787166669187,0.0012639316848802875,0.001863059786428121,-0.0011697603872521075,0.0027451635500767547,-0.00041710554368751653,0.0013591479733819876,0.00157343148934036,-0.00018839466399474258,-0.0011227300000548612,-0.010646394600127434,0.0047343767607541665,0.005200708083113376,0.0031494092367607626,-0.005710514878250625,-0.00341924234749999,-0.010329972121694508,0.006144082978909111,-0.0013055774934166292,0.01402566235714489,-0.011919629904067305,-0.005081787637363999,0.012690930659936317,0.005383627631073119,-0.007117991851073924,0.0067329292621702425,0.00849181366676368,-0.0024763030275917336,-0.0003268655849249513,0.007811912047515765,-0.00761085354125491,0.00174409433060662,0.010302504879027327,0.004861633897564593,-0.0022078917258076813,0.015137755666674847,-0.01547920578991955,0.0014169808564265668,-0.014209779831442948,-0.003120053684599264,0.0020432617359366113,-0.008338504944339803,-0.002536955052803394,0.012297232889513149,-0.018410199303309505,0.008246399868971521,-0.01437228607804808,-0.011636620295213885,0.010329476930932805
ACOT11,0.001710687780787753,-0.0006630406933734665,-0.0003057536145750852,-0.004621535475855901,0.002381386070279606,0.005306072574325054,0.0010331773500511798,0.010725386247520459,-0.004030821549779864,-0.004891621879225233,0.0037803435619448433,-0.0006181768038596852,-0.0022220428689391225,0.004220202901452443,0.0025134886619754826,0.005790419210231115,0.02050924396271217,0.02042393749073626,-0.022735338751739855,0.02366536723989053,0.02103531495886727,-0.006720147980906722,-0.005695769800968559,-0.0008386341824753313,-0.008422680792749729,0.05345386628497331,0.005523898207777975,-0.03398020885237846,0.02506859406989595,-0.0245021091435988,-0.003153308439306916,-0.005144801702121719,-0.026414328432446246,-0.03546747830640065,-0.024530585143607182,0.01860124190951548,-0.007098471065789519,-0.018708933129235064,-0.04158463594131598,-0.010698733456768902,0.03467092997990505,0.011989795295306806,-0.04283991137522764,-0.04855883377836853,0.02516482836339555,-0.013790329736486246,-0.026918517596095724,-0.05756032213280432,-0.08279895637012526,-0.03304285311037983
CHERP,-0.0030870202517967182,0.004655287541982022,0.0009360633443998743,-0.003034026548822098,-0.0019515348121069797,-0.001969547355992168,-0.0021348744748230916,0.0002578628387782903,0.0073028823590217395,-0.0023439440671522704,0.01310655667107491,0.0018047898726361311,-0.016265126405092867,0.0058942635249524256,0.02091215401520656,0.004242348963266265,0.002299873047385881,-0.04705799331155289,-0.010089426505435265,0.012027980144171502,-0.010530713909415408,-0.01192296510754378,-0.023479393349615022,0.013334306563806825,-0.004093480403771008,0.014973137211210838,0.004222301047848112,0.021874145164340705,0.004715322684086004,-0.021821543231983875,0.006383245466996463,-0.010008056451990828,-0.013346159497734753,-0.00216436515370951,0.01216518425104575,0.010908305109706196,-0.026966637016455502,0.004870641227090222,-0.021744566010037096,0.016273790187972918,0.003532989041207418,0.02230382504182288,-4.5707321074004055e-05,-0.001679007800619331,0.008034428687070053,0.010149705222739298,0.007469157227570109,-0.012625031392507424,-0.008603018683528071,0.03089181959338277
SGSM1,-0.001001936586442663,0.005808399392247988,0.003842217891284633,0.004856590121255673,0.0005770841971347813,-0.0017035925952182541,0.00100345130864258,-0.0010021386012599902,-0.0002558111085828041,-0.0042934921725937825,3.537967689571167e-05,0.0069777622091486205,-0.007274394547182733,-0.0020768599125192133,-0.016293265604918603,0.012974295820458462,0.00290866052366507,-0.0007749058755353588,-0.003627275509034678,-0.00021155165239893515,-0.009708509811320438,0.0018666217256249782,-0.0030824046011982895,-0.007570435439524847,0.001474703999859335,-0.018552900448518234,0.0017419266059462424,0.015318310443847696,0.017689543169299923,0.015618729172501695,-0.005251068242514641,-0.004320013526898001,0.004469163921966215,0.013965728485144784,-0.0015222033260430846,0.011651169256489916,0.020093390359688008,-0.021970692497434885,-0.002435479571875128,-0.004700118530063607,-0.023097706655123458,0.01791994053771051,0.028760292392131903,0.0015211269896282104,0.007214672503270805,-0.012445700226478625,-0.010546124538571303,-0.014387903944675814,-0.032803347593303785,-0.009339344908570305
