PC,eigenvalue,explained_variance_ratio
PC174,2.4933544782376678,0.0012466772391188337
PC175,2.487263760145834,0.0012436318800729167
PC176,2.484705782555591,0.0012423528912777952
PC177,2.4786456509768566,0.0012393228254884282
PC178,2.473522822946734,0.0012367614114733667
PC179,2.468691416274398,0.0012343457081371988
PC180,2.4655985797019024,0.001232799289850951
PC181,2.4544874866359754,0.0012272437433179875
PC182,2.453113756778333,0.0012265568783891663
PC183,2.450188221229914,0.001225094110614957
PC184,2.441605421832107,0.0012208027109160535
PC185,2.4381802765605323,0.001219090138280266
PC186,2.4343521575549714,0.0012171760787774856
PC187,2.432387321881376,0.001216193660940688
PC188,2.427143854179824,0.0012135719270899117
PC189,2.4198652886130185,0.0012099326443065091
PC190,2.415536823811748,0.001207768411905874
PC191,2.4132433795949777,0.0012066216897974886
PC192,2.4114564432155934,0.0012057282216077967
PC193,2.409491940947514,0.001204745970473757
PC194,2.4053689613114337,0.0012026844806557167
PC195,2.4000269127667875,0.0012000134563833935
PC196,2.3951452927693317,0.0011975726463846657
PC197,2.3905464253252537,0.0011952732126626268
PC198,2.3825823268186443,0.001191291163409322
PC199,2.3812517878267543,0.001190625893913377
PC200,2.3768389306564734,0.0011884194653282367
PC201,2.3719986012449077,0.0011859993006224537
PC202,2.3691883307326567,0.0011845941653663282
PC203,2.3643698539681686,0.001182184926984084
PC204,2.3611842099865075,0.0011805921049932535
PC205,2.354484850741869,0.0011772424253709344
PC206,2.3516707634804286,0.0011758353817402142
PC207,2.3482958584677207,0.0011741479292338602
PC208,2.3447970483616474,0.0011723985241808236
PC209,2.3428581861411715,0.0011714290930705856
PC210,2.336551480424718,0.0011682757402123587
PC211,2.3305046928338062,0.001165252346416903
PC212,2.3272214491924017,0.0011636107245962008
PC213,2.3198453014684985,0.0011599226507342491
PC214,2.317974532691587,0.0011589872663457933
PC215,2.313157490079479,0.0011565787450397394
PC216,2.309832804458808,0.0011549164022294038
PC217,2.307803068563627,0.0011539015342818134
PC218,2.3036947815414672,0.0011518473907707334
PC219,2.2983807843812465,0.001149190392190623
PC220,2.29623055242546,0.0011481152762127299
PC221,2.293518606010793,0.0011467593030053962
PC222,2.286183844574653,0.0011430919222873265
PC223,2.283236197172015,0.0011416180985860075
PC224,2.2769801496652624,0.001138490074832631
PC225,2.2711781205859443,0.001135589060292972
PC226,2.2705893248896216,0.0011352946624448106
PC227,2.266166295906505,0.0011330831479532525
PC228,2.2628308268520874,0.0011314154134260436
PC229,2.2560729442167116,0.0011280364721083557
PC230,2.255860888033458,0.0011279304440167288
PC231,2.2513750834296076,0.0011256875417148037
PC232,2.245336826477893,0.0011226684132389462
PC233,2.2432640238219865,0.001121632011910993
PC234,2.2420499550604647,0.0011210249775302323
PC235,2.234748989050831,0.0011173744945254154
PC236,2.2305122198088334,0.0011152561099044165
PC237,2.2274683449771144,0.0011137341724885572
PC238,2.2216865008107827,0.0011108432504053911
PC239,2.22010460568509,0.001110052302842545
PC240,2.217477597980773,0.0011087387989903864
PC241,2.2148388653423523,0.0011074194326711761
PC242,2.2084989427136823,0.001104249471356841
PC243,2.2038662701538674,0.0011019331350769336
PC244,2.2029733579802073,0.0011014866789901036
PC245,2.1955097787700515,0.0010977548893850255
PC246,2.1908989482480212,0.0010954494741240105
PC247,2.1867656592446405,0.0010933828296223202
PC248,2.1837268008029156,0.0010918634004014576
PC249,2.181507329244567,0.0010907536646222833
PC250,2.18096611218835,0.0010904830560941748
PC251,2.1748847543083225,0.001087442377154161
PC252,2.173614297582811,0.0010868071487914054
PC253,2.1705842691892503,0.001085292134594625
PC254,2.1674431616333907,0.0010837215808166952
PC255,2.15900940574531,0.0010795047028726548
PC256,2.1556343192824974,0.0010778171596412486
PC257,2.1520300348816934,0.0010760150174408466
PC258,2.1464354740723763,0.001073217737036188
PC259,2.144664077486928,0.001072332038743464
PC260,2.1406872175606013,0.0010703436087803006
PC261,2.1399468442829255,0.0010699734221414625
PC262,2.1347432422670685,0.001067371621133534
PC263,2.1340706918225942,0.001067035345911297
PC264,2.1319822081754523,0.001065991104087726
PC265,2.127103162119998,0.0010635515810599988
PC266,2.122615515928988,0.001061307757964494
PC267,2.118141519086702,0.001059070759543351
PC268,2.1160843847694406,0.0010580421923847203
PC269,2.1118075415949296,0.0010559037707974647
PC270,2.10939347187123,0.001054696735935615
PC271,2.1040796517065194,0.0010520398258532595
PC272,2.0999495128088554,0.0010499747564044276
PC273,2.0963971765877214,0.0010481985882938606
PC274,2.095308947835663,0.0010476544739178315
PC275,2.088049565419919,0.0010440247827099595
PC276,2.086751169245422,0.001043375584622711
PC277,2.0833055539657406,0.00104165277698287
PC278,2.080200956026768,0.0010401004780133838
PC279,2.0766496684307754,0.0010383248342153875
PC280,2.0739046951380917,0.0010369523475690456
PC281,2.0673374593234697,0.0010336687296617346
PC282,2.0657717226435817,0.0010328858613217907
PC283,2.06138493657204,0.0010306924682860197
PC284,2.059814276784591,0.0010299071383922955
PC285,2.0566467107795754,0.0010283233553897875
PC286,2.0477536030862264,0.001023876801543113
PC287,2.044602151622514,0.0010223010758112568
PC288,2.041022568713513,0.0010205112843567564
PC289,2.0377158128564323,0.001018857906428216
PC290,2.0364353176372263,0.001018217658818613
PC291,2.0357822482623438,0.0010178911241311719
PC292,2.0304587054661787,0.0010152293527330891
PC293,2.028732849764165,0.0010143664248820825
PC294,2.0237482674256775,0.0010118741337128386
PC295,2.020139571634679,0.0010100697858173393
PC296,2.0184869617121155,0.0010092434808560576
PC297,2.0166441491927727,0.0010083220745963862
PC298,2.009236816351573,0.0010046184081757864
PC299,2.006362415275531,0.0010031812076377654
PC300,2.0046635132683024,0.0010023317566341511
PC301,1.9996098931198267,0.0009998049465599133
PC302,1.9962725020037342,0.000998136251001867
PC303,1.995980025095384,0.0009979900125476919
PC304,1.9920308196552656,0.0009960154098276326
PC305,1.9918349991028421,0.0009959174995514209
PC306,1.982431586502311,0.0009912157932511555
PC307,1.9779244191025844,0.000988962209551292
PC308,1.9742887058886212,0.0009871443529443104
PC309,1.9727779945562776,0.0009863889972781387
PC310,1.9681034872521708,0.0009840517436260853
PC311,1.965286766580948,0.0009826433832904739
PC312,1.9620183030259568,0.0009810091515129783
PC313,1.9565143903561468,0.0009782571951780733
PC314,1.9552382539609006,0.0009776191269804501
PC315,1.9520745683391925,0.0009760372841695961
PC316,1.950019298021809,0.0009750096490109044
PC317,1.9477379136554789,0.0009738689568277393
PC318,1.9423794040899642,0.0009711897020449821
PC319,1.9402118298841613,0.0009701059149420805
PC320,1.9389228105611744,0.0009694614052805871
PC321,1.933404136752179,0.0009667020683760895
PC322,1.931406995229052,0.0009657034976145259
PC323,1.9302422823094836,0.0009651211411547416
PC324,1.9270456688596755,0.0009635228344298377
PC325,1.925046618340326,0.000962523309170163
PC326,1.9230925156777454,0.0009615462578388726
PC327,1.9165627056965227,0.0009582813528482612
PC328,1.9136976685356843,0.000956848834267842
PC329,1.9113143218164939,0.0009556571609082469
PC330,1.9098402244025658,0.0009549201122012828
